oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
WES,200.0,294.0,22224.4,3,1,153.0,262.0,1,2,135.0,259.0,1,3,126.0,259.0,1,3,50.5,127.5,2.5,MOR-1,126.0,259.0,28280.2,
WES,200.0,294.0,22239.2,3,1,172.0,260.0,1,2,175.0,193.0,1,3,170.0,185.0,1,3,72.3,156.7,2.2,MON-2,170.0,185.0,30918.6,
WES,200.0,294.0,22269.0,3,1,147.0,290.0,1,2,142.0,272.0,1,3,129.0,247.0,1,3,60.0,120.2,2.0,UNI-3,129.0,247.0,29469.8,
WES,200.0,294.0,22274.8,3,1,150.0,244.0,1,2,144.0,235.0,1,3,128.0,209.0,1,3,67.2,158.1,2.4,MID-1,128.0,209.0,30342.9,
WES,200.0,294.0,22289.4,3,1,144.0,269.0,1,2,123.0,260.0,2,3,127.0,244.0,2,5,60.4,244.0,4.0,UNI-2,127.0,244.0,29537.4,
WES,200.0,294.0,22304.9,3,1,150.0,250.0,1,2,128.0,224.0,1,3,90.0,182.0,1,3,94.4,194.4,2.1,MER-1,90.0,182.0,33630.6,
WES,200.0,294.0,22307.5,3,1,140.0,271.0,1,2,124.0,269.0,2,3,105.0,286.0,1,4,63.5,191.8,3.0,MOR-3,105.0,286.0,29930.6,
WES,200.0,294.0,22321.4,3,1,141.0,257.0,1,2,130.0,234.0,1,3,127.0,237.0,2,4,59.6,208.2,3.5,UNI-1,127.0,237.0,29476.8,
WES,200.0,294.0,22321.9,3,1,157.0,267.0,2,2,141.0,258.0,2,3,112.0,277.0,1,5,62.3,197.6,3.2,MOR-3,112.0,277.0,29795.6,
WES,200.0,294.0,22331.6,3,1,146.0,239.0,1,2,145.0,240.0,1,3,132.0,225.0,1,3,59.0,150.6,2.6,MID-3,132.0,225.0,29412.2,
